NAME=Cool Muse,HARDWARE=INTERAXON-MUSE,FS=220,#CH=4,DATA=ffffi,PRESET=14,OSCPORT=5000,FILE=log20141210_195303.csv
A1,FP1,FP2,A2,STATUS
743.531,758.336,972.183,1023.178,0.000
664.572,758.336,814.265,944.219,0.000
638.252,863.615,866.905,891.579,0.000
664.572,705.697,801.105,891.579,0.000
690.892,705.697,827.425,996.858,0.000
796.170,758.336,827.425,1023.178,0.000
638.252,837.295,945.864,891.579,0.000
717.211,863.615,840.585,891.579,0.000
611.933,758.336,893.224,917.899,0.000
690.892,732.016,853.745,891.579,0.000
638.252,758.336,866.905,944.219,0.000
769.851,784.656,945.864,1023.178,0.000
664.572,784.656,787.946,865.260,0.000
611.933,863.615,814.265,812.620,0.000
664.572,758.336,840.585,812.620,0.000
743.531,679.377,735.306,891.579,0.000
822.490,758.336,866.905,944.219,0.000
638.252,784.656,866.905,838.940,0.000
717.211,784.656,735.306,812.620,0.000
664.572,679.377,656.347,838.940,0.000
717.211,653.057,708.987,812.620,0.000
638.252,758.336,761.626,838.940,0.000
769.851,758.336,814.265,917.899,0.000
611.933,705.697,656.347,759.981,0.000
611.933,810.975,682.667,759.981,0.000
664.572,653.057,682.667,786.301,0.000
743.531,653.057,682.667,838.940,0.000
796.170,718.856,656.347,891.579,0.000
638.252,771.496,787.946,759.981,0.000
690.892,771.496,656.347,759.981,0.000
638.252,666.217,630.027,812.620,0.000
743.531,653.057,708.987,812.620,0.000
664.572,771.496,787.946,812.620,0.000
769.851,771.496,814.265,917.899,0.000
585.613,771.496,814.265,759.981,0.000
585.613,784.656,656.347,733.661,0.000
611.933,692.537,656.347,812.620,0.000
690.892,653.057,682.667,891.579,0.000
769.851,732.016,577.388,891.579,0.000
585.613,824.135,814.265,786.301,0.000
664.572,784.656,656.347,759.981,0.000
638.252,771.496,656.347,865.260,0.000
743.531,666.217,708.987,865.260,0.000
611.933,771.496,708.987,865.260,0.000
769.851,850.455,761.626,917.899,0.000
585.613,745.176,603.708,786.301,0.000
585.613,850.455,630.027,707.342,0.000
638.252,797.815,682.667,786.301,0.000
743.531,745.176,682.667,812.620,0.000
769.851,876.775,656.347,812.620,0.000
611.933,929.414,761.626,707.342,0.000
664.572,876.775,630.027,654.702,0.000
664.572,771.496,577.388,733.661,0.000
769.851,771.496,656.347,759.981,0.000
638.252,824.135,761.626,733.661,0.000
769.851,903.094,761.626,786.301,0.000
585.613,850.455,735.306,681.022,0.000
585.613,850.455,656.347,628.383,0.000
638.252,797.815,656.347,733.661,0.000
717.211,771.496,735.306,812.620,0.000
717.211,876.775,630.027,812.620,0.000
559.293,982.053,787.946,707.342,0.000
611.933,903.094,708.987,681.022,0.000
585.613,850.455,656.347,838.940,0.000
717.211,850.455,787.946,838.940,0.000
559.293,903.094,761.626,786.301,0.000
690.892,982.053,761.626,812.620,0.000
506.654,876.775,630.027,786.301,0.000
506.654,876.775,630.027,707.342,0.000
506.654,903.094,708.987,865.260,0.000
638.252,797.815,735.306,865.260,0.000
638.252,929.414,708.987,838.940,0.000
532.974,929.414,735.306,759.981,0.000
585.613,876.775,656.347,733.661,0.000
585.613,797.815,551.068,865.260,0.000
690.892,843.875,577.388,891.579,0.000
480.334,1008.373,761.626,838.940,0.000
611.933,1014.953,682.667,838.940,0.000
454.015,988.633,708.987,838.940,0.000
454.015,889.934,603.708,733.661,0.000
454.015,883.354,603.708,865.260,0.000
559.293,870.195,682.667,891.579,0.000
506.654,876.775,524.749,838.940,0.000
454.015,1061.012,656.347,759.981,0.000
506.654,929.414,630.027,759.981,0.000
506.654,843.875,577.388,865.260,0.000
611.933,876.775,761.626,917.899,0.000
454.015,982.053,682.667,812.620,0.000
532.974,1014.953,682.667,812.620,0.000
427.695,903.094,551.068,812.620,0.000
454.015,876.775,577.388,733.661,0.000
427.695,929.414,682.667,865.260,0.000
559.293,903.094,708.987,917.899,0.000
480.334,942.574,656.347,838.940,0.000
427.695,968.893,656.347,786.301,0.000
454.015,824.135,603.708,786.301,0.000
480.334,824.135,577.388,891.579,0.000
585.613,863.615,551.068,917.899,0.000
427.695,1008.373,787.946,812.620,0.000
506.654,1008.373,656.347,812.620,0.000
427.695,889.934,603.708,838.940,0.000
480.334,850.455,630.027,786.301,0.000
427.695,863.615,656.347,891.579,0.000
559.293,903.094,735.306,944.219,0.000
454.015,876.775,551.068,838.940,0.000
427.695,1021.533,630.027,812.620,0.000
480.334,903.094,630.027,812.620,0.000
817.555,763.271,773.141,868.550,0.000
896.514,815.910,904.739,934.349,0.000
712.276,868.550,878.419,789.591,0.000
764.916,894.869,799.460,763.271,0.000
712.276,736.951,773.141,776.431,0.000
764.916,684.312,773.141,763.271,0.000
738.596,789.591,878.419,802.750,0.000
843.875,763.271,904.739,894.869,0.000
685.957,710.632,746.821,750.111,0.000
659.637,842.230,773.141,710.632,0.000
712.276,684.312,773.141,750.111,0.000
764.916,684.312,799.460,842.230,0.000
843.875,736.951,746.821,881.709,0.000
659.637,789.591,904.739,736.951,0.000
712.276,789.591,746.821,723.791,0.000
659.637,657.992,720.501,789.591,0.000
738.596,657.992,799.460,776.431,0.000
606.998,763.271,852.100,776.431,0.000
712.276,815.910,878.419,881.709,0.000
528.039,763.271,720.501,750.111,0.000
528.039,842.230,694.182,723.791,0.000
554.358,842.230,825.780,776.431,0.000
633.317,684.312,746.821,855.390,0.000
685.957,815.910,694.182,855.390,0.000
475.399,842.230,852.100,750.111,0.000
528.039,842.230,667.862,697.472,0.000
501.719,815.910,720.501,776.431,0.000
580.678,763.271,773.141,776.431,0.000
475.399,947.509,825.780,776.431,0.000
606.998,894.869,825.780,855.390,0.000
422.760,789.591,615.223,723.791,0.000
422.760,868.550,667.862,697.472,0.000
501.719,815.910,720.501,776.431,0.000
554.358,763.271,773.141,802.750,0.000
606.998,894.869,773.141,802.750,0.000
422.760,894.869,799.460,671.152,0.000
475.399,842.230,694.182,618.513,0.000
475.399,789.591,667.862,697.472,0.000
554.358,763.271,746.821,697.472,0.000
422.760,815.910,746.821,671.152,0.000
554.358,894.869,799.460,750.111,0.000
396.440,815.910,667.862,644.832,0.000
396.440,842.230,667.862,565.873,0.000
449.080,736.951,667.862,671.152,0.000
528.039,763.271,746.821,723.791,0.000
554.358,842.230,694.182,723.791,0.000
422.760,842.230,773.141,618.513,0.000
475.399,842.230,641.542,592.193,0.000
449.080,815.910,641.542,723.791,0.000
580.678,789.591,720.501,750.111,0.000
396.440,894.869,746.821,723.791,0.000
528.039,921.189,746.821,736.951,0.000
343.801,881.709,667.862,697.472,0.000
343.801,855.390,588.903,618.513,0.000
370.121,894.869,799.460,763.271,0.000
475.399,750.111,720.501,776.431,0.000
475.399,855.390,720.501,750.111,0.000
370.121,934.349,720.501,657.992,0.000
396.440,829.070,588.903,618.513,0.000
396.440,763.271,562.583,736.951,0.000
501.719,776.431,588.903,776.431,0.000
343.801,908.029,746.821,710.632,0.000
449.080,921.189,720.501,723.791,0.000
317.481,829.070,588.903,671.152,0.000
317.481,802.750,615.223,605.353,0.000
317.481,723.791,667.862,736.951,0.000
422.760,750.111,799.460,815.910,0.000
370.121,750.111,641.542,789.591,0.000
238.522,934.349,773.141,710.632,0.000
291.162,802.750,720.501,710.632,0.000
291.162,750.111,667.862,842.230,0.000
396.440,776.431,799.460,868.550,0.000
212.202,829.070,799.460,789.591,0.000
317.481,881.709,799.460,789.591,0.000
212.202,802.750,799.460,789.591,0.000
238.522,776.431,746.821,710.632,0.000
212.202,802.750,825.780,842.230,0.000
317.481,776.431,852.100,894.869,0.000
264.842,802.750,746.821,815.910,0.000
212.202,934.349,799.460,789.591,0.000
238.522,829.070,773.141,789.591,0.000
264.842,723.791,667.862,894.869,0.000
370.121,776.431,746.821,947.509,0.000
212.202,908.029,825.780,868.550,0.000
291.162,908.029,720.501,868.550,0.000
212.202,750.111,641.542,894.869,0.000
238.522,750.111,667.862,842.230,0.000
238.522,750.111,694.182,921.189,0.000
343.801,802.750,799.460,973.828,0.000
238.522,802.750,694.182,868.550,0.000
212.202,881.709,694.182,842.230,0.000
264.842,802.750,667.862,842.230,0.000
317.481,671.152,667.862,921.189,0.000
396.440,776.431,641.542,973.828,0.000
212.202,802.750,799.460,842.230,0.000
264.842,855.390,667.862,842.230,0.000
238.522,802.750,667.862,868.550,0.000
264.842,723.791,694.182,842.230,0.000
185.883,776.431,746.821,894.869,0.000
317.481,802.750,812.620,1000.148,0.000
185.883,802.750,667.862,868.550,0.000
159.563,881.709,667.862,842.230,0.000
212.202,776.431,694.182,868.550,0.000
264.842,723.791,641.542,973.828,0.000
343.801,829.070,746.821,1000.148,0.000
159.563,855.390,773.141,894.869,0.000
212.202,855.390,654.702,868.550,0.000
159.563,750.111,588.903,921.189,0.000
238.522,723.791,628.383,921.189,0.000
159.563,802.750,667.862,947.509,0.000
264.842,829.070,746.821,1026.468,0.000
106.924,776.431,575.743,921.189,0.000
106.924,855.390,602.063,868.550,0.000
159.563,671.152,602.063,894.869,0.000
212.202,671.152,602.063,973.828,0.000
291.162,697.472,523.104,1000.148,0.000
106.924,750.111,628.383,894.869,0.000
133.243,776.431,470.464,868.550,0.000
106.924,671.152,496.784,921.189,0.000
159.563,671.152,549.423,921.189,0.000
27.965,723.791,602.063,921.189,0.000
159.563,750.111,654.702,1026.468,0.000
0.000,671.152,549.423,868.550,0.000
0.000,750.111,549.423,842.230,0.000
52.639,697.472,602.063,921.189,0.000
131.598,618.513,602.063,973.828,0.000
157.918,776.431,654.702,973.828,0.000
0.000,802.750,681.022,842.230,0.000
52.639,776.431,575.743,815.910,0.000
769.851,764.916,735.306,860.325,0.000
848.810,751.756,814.265,860.325,0.000
717.211,883.354,919.544,807.685,0.000
848.810,909.674,919.544,860.325,0.000
664.572,909.674,787.946,781.366,0.000
664.572,870.195,787.946,728.726,0.000
717.211,778.076,787.946,834.005,0.000
769.851,764.916,866.905,860.325,0.000
822.490,804.395,735.306,860.325,0.000
690.892,883.354,893.224,755.046,0.000
717.211,870.195,761.626,702.407,0.000
717.211,830.715,735.306,807.685,0.000
822.490,791.236,814.265,807.685,0.000
690.892,817.555,840.585,781.366,0.000
822.490,922.834,893.224,807.685,0.000
664.572,791.236,761.626,728.726,0.000
664.572,870.195,761.626,676.087,0.000
717.211,870.195,840.585,834.005,0.000
796.170,751.756,840.585,886.644,0.000
796.170,922.834,840.585,886.644,0.000
638.252,975.473,866.905,781.366,0.000
664.572,896.514,761.626,755.046,0.000
664.572,857.035,761.626,860.325,0.000
769.851,830.715,866.905,886.644,0.000
585.613,1001.793,866.905,834.005,0.000
717.211,1001.793,866.905,860.325,0.000
559.293,949.154,735.306,834.005,0.000
532.974,909.674,735.306,755.046,0.000
532.974,883.354,814.265,886.644,0.000
638.252,857.035,866.905,939.284,0.000
611.933,857.035,708.987,912.964,0.000
506.654,1041.273,866.905,834.005,0.000
559.293,909.674,761.626,834.005,0.000
585.613,857.035,708.987,939.284,0.000
690.892,883.354,761.626,965.603,0.000
532.974,962.313,866.905,886.644,0.000
638.252,1014.953,866.905,886.644,0.000
506.654,857.035,735.306,886.644,0.000
559.293,883.354,787.946,781.366,0.000
559.293,935.994,893.224,939.284,0.000
664.572,883.354,919.544,939.284,0.000
638.252,1014.953,945.864,886.644,0.000
585.613,988.633,840.585,834.005,0.000
638.252,883.354,787.946,834.005,0.000
638.252,857.035,761.626,939.284,0.000
743.531,883.354,787.946,991.923,0.000
585.613,1041.273,919.544,886.644,0.000
664.572,1041.273,840.585,886.644,0.000
585.613,909.674,840.585,886.644,0.000
611.933,883.354,761.626,834.005,0.000
585.613,929.414,814.265,912.964,0.000
717.211,929.414,893.224,965.603,0.000
611.933,929.414,761.626,860.325,0.000
559.293,1021.533,814.265,834.005,0.000
611.933,876.775,787.946,834.005,0.000
664.572,916.254,761.626,939.284,0.000
743.531,922.834,919.544,991.923,0.000
559.293,909.674,866.905,860.325,0.000
638.252,1028.113,866.905,860.325,0.000
585.613,850.455,735.306,886.644,0.000
638.252,883.354,787.946,860.325,0.000
585.613,962.313,893.224,912.964,0.000
690.892,935.994,919.544,991.923,0.000
559.293,949.154,761.626,860.325,0.000
559.293,1028.113,787.946,834.005,0.000
611.933,870.195,787.946,860.325,0.000
638.252,870.195,761.626,965.603,0.000
743.531,949.154,919.544,1005.083,0.000
585.613,1001.793,866.905,899.804,0.000
611.933,1001.793,814.265,860.325,0.000
559.293,870.195,735.306,912.964,0.000
638.252,870.195,761.626,899.804,0.000
585.613,949.154,893.224,939.284,0.000
690.892,949.154,893.224,1031.403,0.000
532.974,1001.793,840.585,899.804,0.000
532.974,1001.793,761.626,860.325,0.000
611.933,870.195,761.626,899.804,0.000
690.892,870.195,761.626,978.763,0.000
743.531,922.834,761.626,1018.243,0.000
